Inventory Type,Sectors Sector,Category Full,Category Label,Source Full,Source Label,Source Units,CY 2005 Consumed,CY 2005 tCO2e (100 yr GWP),CY 2005 Source MMBtu,CY 2005 tCO2e 20 yr GWP,CY 2006 Consumed,CY 2006 tCO2e (100 yr GWP),CY 2006 Source MMBtu,CY 2006 tCO2e 20 yr GWP,CY 2007 Consumed,CY 2007 tCO2e (100 yr GWP),CY 2007 Source MMBtu,CY 2007 tCO2e 20 yr GWP,CY 2008 Consumed,CY 2008 tCO2e (100 yr GWP),CY 2008 Source MMBtu,CY 2008 tCO2e 20 yr GWP,CY 2009 Consumed,CY 2009 tCO2e (100 yr GWP),CY 2009 Source MMBtu,CY 2009 tCO2e 20 yr GWP,CY 2010 Consumed,CY 2010 tCO2e,CY 2010 Source MMBtu,CY 2010 tCO2e 20 yr GWP,CY 2011 Consumed,CY 2011 tCO2e,CY 2011 Source MMBtu,CY 2011 tCO2e 20 yr GWP,CY 2012 Consumed,CY 2012 tCO2e,CY 2012 Source MMBtu,CY 2012 tCO2e 20 yr GWP,CY 2013 Consumed,CY 2013 tCO2e,CY 2013 Source MMBtu,CY 2013 tCO2e 20 yr GWP,CY 2014 Consumed,CY 2014 tCO2e,CY 2014 Source MMBtu,CY 2014 tCO2e 20 yr GWP,CY 2015 Consumed,CY 2015 tCO2e,CY 2015 Source MMBtu,CY 2015 tCO2e 20 yr GWP,CY 2016 Consumed,CY 2016 tCO2e,CY 2016 Source MMBtu,CY 2016 tCO2e 20 yr GWP,CY 2017 Consumed,CY 2017 tCO2e,CY 2017 Source MMBtu,CY 2017 tCO2e 20 yr GWP,CY 2018 Consumed,CY 2018 tCO2e,CY 2018 Source MMBtu,CY 2018 tCO2e 20 yr GWP,CY 2019 Consumed,CY 2019 tCO2e,CY 2019 Source MMBtu,CY 2019 tCO2e 20 yr GWP,CY 2020 Consumed,CY 2020 tCO2e,CY 2020 Source MMBtu,CY 2020 tCO2e 20 yr GWP,CY 2021 Consumed,CY 2021 tCO2e,CY 2021 Source MMBtu,CY 2021 tCO2e 20 yr GWP,CY 2022 Consumed,CY 2022 tCO2e,CY 2022 Source MMBtu,CY 2022 tCO2e 20 yr GWP,2005 - 2022 % change Consumed,2005 - 2022 % change tCO2e,2005 - 2022 % change Source MMBtu,2005 - 2022 % change tCO2e 20 yr GWP
CLCPA Addition,Transportation,Railways,Railways,Upstream Electricity,Upstream Electricity,kWh,2223041707.65,0,19341796.68,719277.25,2140907587.58,0,18627180.56,830787.27,2158819942.68,0,18783028.79,750815.8,2233046139.92,0,19428841.25,776630.92,2382461920.32,0,20728848.18,774247.14,2218898721.62,0,19305750.22,700785.61,2114957235.83,0,18401396.93,711488.36,2173059596.96,0,18906922.33,713149.37,2212254150.92,0,19247938.47,645312.9,2154131108.12,0,18742233.12,587714.02,2163557443.17,0,18824247.89,542450.98,2128891160.85,0,18522630.43,532377.06,2104459509.88,0,18310060.41,456831.64,2195841805.3,0,19105141.21,494907.37,2229864150.72,0,19401156.03,493609.48,1851196246.62,0,16106518.06,409786.41,1992455247.51,0,17335556.13,508041.79,2133596277.28,0,18563567.77,535680.1,-4.02,0,-4.02,-25.53
GPC,Transportation,Marine Navigation,Marine Navigation,Diesel - marine navigation,Marine diesel,gallon,4820479.61,49897.65,671878.45,49978.93,4584689.5,47456.95,639014.02,47534.24,3135128.85,32452.28,436974.26,32505.14,4333150.72,44853.22,603954.55,44926.28,4353756.39,45066.52,606826.57,45139.92,4979305.3,51541.69,694015.57,51625.64,5195635.79,53780.96,724167.72,53868.56,3053309.6,31605.36,425570.29,31656.84,8636341,89396.32,1203733.21,89541.93,5091416.5,52702.17,709641.63,52788.01,5377481,55663.27,749513.3,55753.94,8307993,85997.53,1157968.06,86137.6,5897877.05,61049.99,822046.1,61149.43,9831136.38,101763.86,1370263.79,101929.62,9558681,98943.63,1247176.97,99104.79,7946576.2,82256.44,1247176.97,82390.42,8948033.95,92622.71,1247176.97,92773.57,8988192,93038.39,1252774.2,93189.93,86.46,86.46,86.46,86.46
GPC,Transportation,Marine Navigation,Marine Navigation,Biofuel,Biofuel,gallon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,4.52,0,22.5,0,2.91,0,55,0,7.11,0,25,0,3.23,0,821.25,0.01,106.17,0.01,0,0,0,0,0,0,0.01,0,300.1,0,0.01,0,0.05,0,0.01,0,0,0,0,0,0,0,0,0
GPC,Transportation,Aviation,Aviation,Jet fuel - aviation,Jet fuel,gallon,246497.04,2067.99,29875.44,2067.91,254180.49,2132.45,30806.67,2132.37,247583.58,2077.1,30007.13,2077.03,228389.37,1916.07,27680.79,1916,214669.87,1800.97,26017.99,1800.91,226287.36,1898.44,27426.03,1898.37,186530.26,1564.9,22607.47,1564.84,158166.91,1326.94,19169.83,1326.89,210480.7,1765.83,25510.26,1765.76,236753.3,1986.24,28694.5,1986.17,268598,2253.4,32554.08,2253.32,257397.1,2159.43,31196.53,2159.36,254139,2132.1,30801.65,2132.02,226536.6,1900.53,27456.24,1900.46,200710.6,1683.86,20293.33,1683.8,190426.9,1597.59,20293.33,1597.53,167436.7,1404.71,20293.33,1404.66,169512.5,1422.13,20544.92,1422.07,-31.23,-31.23,-31.23,-31.23
GPC,Waste,Landfills,Landfills,Exported solid waste - landfills,CH4,MT,7420036.11,2264616.2,0,6793848.61,6454706.06,1969994.72,0,5909984.15,6366451.22,1943059.09,0,5829177.26,6351754.26,1938573.54,0,5815720.61,6235455.51,1903078.82,0,5709236.47,6163776.94,1881202.32,0,5643606.96,6308840.79,1925476.22,0,5776428.66,6221994.67,1898970.54,0,5696911.61,6191594.39,1889692.29,0,5669076.86,6245818.31,1906241.58,0,5718724.74,6166621.39,1882070.45,0,5646211.36,6205162.84,1893833.41,0,5681500.24,6221001.96,1898667.56,0,5696002.68,6254262.74,1908818.84,0,5726456.53,6264380.99,1911906.96,0,5735720.89,6423022.5,1960324.8,0,5880974.41,6316535.18,1927824.57,0,5783473.71,6266991.55,1912703.71,0,5738111.14,-15.54,-15.54,0,-15.54
GPC,Waste,Biological treatment,Biological treatment,CH4 and N2O - composting,CH4 and N2O from composting,MT,26351,5046.22,0,10940.93,36787.16,7044.74,0,15274.03,26374.39,5050.7,0,10950.65,18717.19,3584.34,0,7771.38,20689.42,3962.02,0,8590.25,21730.67,4161.42,0,9022.57,20101.28,3849.4,0,8346.05,18731.65,3587.11,0,7777.38,20562.45,3937.71,0,8537.53,29207.44,5593.23,0,12126.93,36807.66,7048.67,0,15282.54,43783.36,8384.51,0,18178.85,57098.08,10934.28,0,23707.12,72940.27,13968.06,0,30284.8,68451.46,13108.46,0,28421.05,44652.3,8550.91,0,18539.63,39428.22,7550.5,0,16370.6,45240,8663.46,0,18783.65,71.68,71.68,0,71.68
GPC,Waste,Wastewater treatment,Wastewater treatment,CH4 - wastewater treatment plants,CH4,MT,6536.09,183010.53,0,549031.59,6834.84,191375.51,0,574126.52,12180.65,341058.17,0,1023174.51,11986.32,335616.98,0,1006850.93,10704.3,299720.36,0,899161.08,9217.05,258077.4,0,774232.21,9956.32,278777.1,0,836331.29,7499.95,209998.6,0,629995.8,6596.89,184713.04,0,554139.13,5698.74,159564.63,0,478693.9,6118.91,171329.51,0,513988.52,4140.57,115935.88,0,347807.63,3192.28,89383.73,0,268151.19,4986.15,139612.07,0,418836.21,6091.35,170557.72,0,511673.16,2645.06,74061.74,0,222185.23,2270.86,63584.02,0,190752.05,3192.62,89393.3,0,268179.9,-51.15,-51.15,0,-51.15
GPC,Waste,Wastewater treatment,Wastewater treatment,N2O - wastewater treatment plants,N2O,MT,285.64,75693.66,0,75408.02,278.32,73755.34,0,73477.02,286.83,76008.64,0,75721.82,291.98,77375.69,0,77083.71,294.02,77914.17,0,77620.15,279.61,74097.71,0,73818.1,278.04,73681.63,0,73403.59,258.62,68535.62,0,68276.99,256.88,68074.01,0,67817.12,255.48,67701.95,0,67446.47,251.31,66597.03,0,66345.72,236.62,62705.15,0,62468.53,248.91,65960.75,0,65711.84,255.27,67647.48,0,67392.2,245.41,65032.84,0,64787.43,213.21,56501.83,0,56288.62,216.15,57280.18,0,57064.03,220.24,58363.1,0,58142.87,-22.9,-22.9,0,-22.9
GPC,Transportation,On-Road,On-Road,Passenger cars,Passenger cars,VMT,19318051045.87,12860259.43,192791648.04,12876117.1,19406873055.38,12828084.43,192509116.75,12843261.6,19482932750.71,12786857.22,192092020.45,12801342.32,18876897077.03,12297498.3,184938566.47,12310802.8,18691006528.77,12087651.48,181978498.36,12100111.51,19657033168.52,12619175.98,190187067.78,12631534.9,19149389857.87,12202449.45,184108805.35,12213768.22,18929782073.09,11972767.4,180844101.5,11983248.61,19007342559.31,11931734.6,180427002.75,11941553.01,19012654923.01,11844931.68,179319018.51,11854052.19,19662888321.73,12157010.71,184253723.58,12165722.98,20244327807.29,12437484.31,191275774.11,12446381.26,20439338696.31,12484566.31,191870280.89,12493477.42,21080754311.88,12805237.63,191870280.89,12814360.37,21523925338.49,12997213.55,197477017.59,13006451.09,16593133288.16,9961821.7,151449671.69,9968886.62,20188205866.91,12054820.41,183303492.7,12063351.28,21323591646.66,12652887.64,191780477.49,12661821.59,10.38,-1.61,-0.52,-1.66
GPC,Transportation,On-Road,On-Road,Medium duty trucks,Medium duty trucks,VMT,487628580.14,387163.75,5670969.36,387697.45,505625195.6,401106.59,5877990.27,401657.87,519513413.48,411839.26,6037982.63,412404.82,514966368.34,408022.61,5984555.21,408583.67,489961853.39,388075.86,5694245.57,388611.33,495450613.01,392316.69,5758516.02,392861.04,487726365.97,386197.57,5670625.41,386737.48,486902606.2,385609.16,5663756.59,386153.44,503532554.75,398914.43,5860854.49,399484.03,521081149.26,412604.74,6069776.23,413204.07,541036603.05,429137.24,6307975.88,429767.83,548434342.13,428919.15,209419377.92,429530.91,560681021.51,432210.93,210068577.99,432808.16,579509795.56,440329.43,210068577.99,440917.74,586892989.14,439349.82,6563142.96,439916.06,495654044.16,365491.82,5483603.1,365945.11,550208203.72,399760.51,6021580.84,400236.21,592622080.49,423766.3,6415127.38,424248.75,21.53,9.45,13.12,9.43
